IslandLocationKey,TextKey,Name
LOCATION_TST_01,TXT_LOCATION_00,"Convés da Grandcypher"
LOCATION_TST_02,TXT_LOCATION_01,"Arvoredo Raio de Sol"
LOCATION_1ST_01,TXT_LOCATION_03,"Colinas, Ainsteddo"
LOCATION_1ST_02,TXT_LOCATION_04,"Fortaleza dos Goblins"
LOCATION_1ST_03,TXT_LOCATION_05,"Minas de Tempeal"
LOCATION_1ST_04,TXT_LOCATION_32,"Vale Celesvorme"
LOCATION_1ST_05,TXT_LOCATION_00,"Convés da Grandcypher"
LOCATION_2ST_01,TXT_LOCATION_31,"Couraçado da Ávia"
LOCATION_2ST_02,TXT_LOCATION_07,"Leautagne, Monte Neigelith"
LOCATION_3ST_01,TXT_LOCATION_08,"Ravina Nevada"
LOCATION_3ST_02,TXT_LOCATION_09,"Mosteiro Decrépito"
LOCATION_3ST_03,TXT_LOCATION_11,"Altar Agrigélido"
LOCATION_3ST_04,TXT_LOCATION_13,"Arqueocinturão de Dahli"
LOCATION_4ST_01,TXT_LOCATION_14,"Altar Puropétreo"
LOCATION_4ST_02,TXT_LOCATION_15,"Ilhas Phondam"
LOCATION_5ST_01,TXT_LOCATION_15,"Ilhas Phondam"
LOCATION_5ST_02,TXT_LOCATION_33,"Castelo de Seedhollow"
LOCATION_6ST_01,TXT_LOCATION_18,"Altar Vagalúrido"
LOCATION_6ST_02,TXT_LOCATION_33,"Castelo de Seedhollow"
LOCATION_6ST_03,TXT_QUEST_STAGE_NAME_7ST,"Torre de Vayoi"
LOCATION_6ST_04,TXT_QUEST_STAGE_NAME_7ST,"Torre de Vayoi"
LOCATION_7ST_01,TXT_QUEST_STAGE_NAME_7ST,"Torre de Vayoi"
LOCATION_7ST_02,TXT_QUEST_STAGE_NAME_7ST,"Torre de Vayoi"
LOCATION_7ST_03,TXT_LOCATION_20,"O Céu Esquecido"
LOCATION_7ST_04,TXT_LOCATION_06,"Altar da Glória"
LOCATION_8ST_01,TXT_LOCATION_NOTHING,"??"
