IslandLocationKey,TextKey,Name
LOCATION_TST_01,TXT_LOCATION_00,"骑空艇格兰赛法号 甲板"
LOCATION_TST_02,TXT_LOCATION_01,"光影斑驳之森"
LOCATION_1ST_01,TXT_LOCATION_03,"艾因斯特群岛 丘陵"
LOCATION_1ST_02,TXT_LOCATION_04,"泽加德据点"
LOCATION_1ST_03,TXT_LOCATION_05,"矿山镇 天培尔"
LOCATION_1ST_04,TXT_LOCATION_32,"飞龙之谷"
LOCATION_1ST_05,TXT_LOCATION_00,"骑空艇格兰赛法号 甲板"
LOCATION_2ST_01,TXT_LOCATION_31,"阿维亚战舰 甲板"
LOCATION_2ST_02,TXT_LOCATION_07,"隆塔涅岛 涅咎里斯灵峰"
LOCATION_3ST_01,TXT_LOCATION_08,"霜枕谷"
LOCATION_3ST_02,TXT_LOCATION_09,"破败的教堂"
LOCATION_3ST_03,TXT_LOCATION_11,"绝零祭坛"
LOCATION_3ST_04,TXT_LOCATION_13,"达利遗迹群"
LOCATION_4ST_01,TXT_LOCATION_14,"崭岩祭坛"
LOCATION_4ST_02,TXT_LOCATION_15,"被封锁的岛屿枫达慕"
LOCATION_5ST_01,TXT_LOCATION_15,"被封锁的岛屿枫达慕"
LOCATION_5ST_02,TXT_LOCATION_33,"希德霍姆城"
LOCATION_6ST_01,TXT_LOCATION_18,"胧暗祭坛"
LOCATION_6ST_02,TXT_LOCATION_33,"希德霍姆城"
LOCATION_6ST_03,TXT_QUEST_STAGE_NAME_7ST,"巴约塔"
LOCATION_6ST_04,TXT_QUEST_STAGE_NAME_7ST,"巴约塔"
LOCATION_7ST_01,TXT_QUEST_STAGE_NAME_7ST,"巴约塔"
LOCATION_7ST_02,TXT_QUEST_STAGE_NAME_7ST,"巴约塔"
LOCATION_7ST_03,TXT_LOCATION_20,"被遗忘的天空"
LOCATION_7ST_04,TXT_LOCATION_06,"荣风祭坛"
LOCATION_8ST_01,TXT_LOCATION_NOTHING,"？？？"
