IslandLocationKey,TextKey,Name
LOCATION_TST_01,TXT_LOCATION_00,"騎空艇格蘭賽法號 甲板"
LOCATION_TST_02,TXT_LOCATION_01,"陽光灑落之森"
LOCATION_1ST_01,TXT_LOCATION_03,"艾因史提多群島 丘陵"
LOCATION_1ST_02,TXT_LOCATION_04,"杰葛德據點"
LOCATION_1ST_03,TXT_LOCATION_05,"礦山鄉 登培爾"
LOCATION_1ST_04,TXT_LOCATION_32,"飛龍谷"
LOCATION_1ST_05,TXT_LOCATION_00,"騎空艇格蘭賽法號 甲板"
LOCATION_2ST_01,TXT_LOCATION_31,"阿維亞戰艦 甲板"
LOCATION_2ST_02,TXT_LOCATION_07,"隆塔紐島 靈峰尼裘里斯"
LOCATION_3ST_01,TXT_LOCATION_08,"霜枕谷"
LOCATION_3ST_02,TXT_LOCATION_09,"腐朽的聖堂"
LOCATION_3ST_03,TXT_LOCATION_11,"絕零祭壇"
LOCATION_3ST_04,TXT_LOCATION_13,"達利遺跡地帶"
LOCATION_4ST_01,TXT_LOCATION_14,"嶄巖祭壇"
LOCATION_4ST_02,TXT_LOCATION_15,"封閉島嶼馮達穆"
LOCATION_5ST_01,TXT_LOCATION_15,"封閉島嶼馮達穆"
LOCATION_5ST_02,TXT_LOCATION_33,"席多霍姆城"
LOCATION_6ST_01,TXT_LOCATION_18,"朧闇祭壇"
LOCATION_6ST_02,TXT_LOCATION_33,"席多霍姆城"
LOCATION_6ST_03,TXT_QUEST_STAGE_NAME_7ST,"瓦幽異之塔"
LOCATION_6ST_04,TXT_QUEST_STAGE_NAME_7ST,"瓦幽異之塔"
LOCATION_7ST_01,TXT_QUEST_STAGE_NAME_7ST,"瓦幽異之塔"
LOCATION_7ST_02,TXT_QUEST_STAGE_NAME_7ST,"瓦幽異之塔"
LOCATION_7ST_03,TXT_LOCATION_20,"被遺忘的天空"
LOCATION_7ST_04,TXT_LOCATION_06,"榮風祭壇"
LOCATION_8ST_01,TXT_LOCATION_NOTHING,"？？？"
