IslandLocationKey,TextKey,Name
LOCATION_TST_01,TXT_LOCATION_00,"Grandcypher Deck"
LOCATION_TST_02,TXT_LOCATION_01,"Sundappled Grove"
LOCATION_1ST_01,TXT_LOCATION_03,"The Hills"
LOCATION_1ST_02,TXT_LOCATION_04,"Zeghard Fortress"
LOCATION_1ST_03,TXT_LOCATION_05,"Mines of Tempeal"
LOCATION_1ST_04,TXT_LOCATION_32,"Skywyrm Valley"
LOCATION_1ST_05,TXT_LOCATION_00,"Grandcypher Deck"
LOCATION_2ST_01,TXT_LOCATION_31,"Main Deck, Aviaeth Battleship"
LOCATION_2ST_02,TXT_LOCATION_07,"Mt. Neigelith, Leautagne Is."
LOCATION_3ST_01,TXT_LOCATION_08,"Snowquilt Ravine"
LOCATION_3ST_02,TXT_LOCATION_09,"Decrepit Monastery"
LOCATION_3ST_03,TXT_LOCATION_11,"Felfrost Altar"
LOCATION_3ST_04,TXT_LOCATION_13,"Dahli Relicbelt"
LOCATION_4ST_01,TXT_LOCATION_14,"Sheerstone Altar"
LOCATION_4ST_02,TXT_LOCATION_15,"The Phondam Isles"
LOCATION_5ST_01,TXT_LOCATION_15,"The Phondam Isles"
LOCATION_5ST_02,TXT_LOCATION_33,"Seedhollow Castle"
LOCATION_6ST_01,TXT_LOCATION_18,"Hollowhaze Altar"
LOCATION_6ST_02,TXT_LOCATION_33,"Seedhollow Castle"
LOCATION_6ST_03,TXT_QUEST_STAGE_NAME_7ST,"Pillar of Vayoi"
LOCATION_6ST_04,TXT_QUEST_STAGE_NAME_7ST,"Pillar of Vayoi"
LOCATION_7ST_01,TXT_QUEST_STAGE_NAME_7ST,"Pillar of Vayoi"
LOCATION_7ST_02,TXT_QUEST_STAGE_NAME_7ST,"Pillar of Vayoi"
LOCATION_7ST_03,TXT_LOCATION_20,"The Forgotten Sky"
LOCATION_7ST_04,TXT_LOCATION_06,"Halewind Altar"
LOCATION_8ST_01,TXT_LOCATION_NOTHING,"???"
