IslandLocationKey,TextKey,Name
LOCATION_TST_01,TXT_LOCATION_00,"Cubierta de la Grandcypher"
LOCATION_TST_02,TXT_LOCATION_01,"Fronda Clarosol"
LOCATION_1ST_01,TXT_LOCATION_03,"Colinas de Ainstedo"
LOCATION_1ST_02,TXT_LOCATION_04,"Fuerte de los trasgos"
LOCATION_1ST_03,TXT_LOCATION_05,"Minas de Tempal"
LOCATION_1ST_04,TXT_LOCATION_32,"Valle Dracocelestial"
LOCATION_1ST_05,TXT_LOCATION_00,"Cubierta de la Grandcypher"
LOCATION_2ST_01,TXT_LOCATION_31,"Acorazado de Avia"
LOCATION_2ST_02,TXT_LOCATION_07,"Monte Neigelith, Lontania"
LOCATION_3ST_01,TXT_LOCATION_08,"Desfiladero Mantoblanco"
LOCATION_3ST_02,TXT_LOCATION_09,"Monasterio en ruinas"
LOCATION_3ST_03,TXT_LOCATION_11,"Altar Inverníveo"
LOCATION_3ST_04,TXT_LOCATION_13,"Cinturón de Dahli"
LOCATION_4ST_01,TXT_LOCATION_14,"Altar Puropétreo"
LOCATION_4ST_02,TXT_LOCATION_15,"Fondam, Islas Castigadas"
LOCATION_5ST_01,TXT_LOCATION_15,"Fondam, Islas Castigadas"
LOCATION_5ST_02,TXT_LOCATION_33,"Castillo de Semitia"
LOCATION_6ST_01,TXT_LOCATION_18,"Altar Foscalino"
LOCATION_6ST_02,TXT_LOCATION_33,"Castillo de Semitia"
LOCATION_6ST_03,TXT_QUEST_STAGE_NAME_7ST,"Torre de Vayoi"
LOCATION_6ST_04,TXT_QUEST_STAGE_NAME_7ST,"Torre de Vayoi"
LOCATION_7ST_01,TXT_QUEST_STAGE_NAME_7ST,"Torre de Vayoi"
LOCATION_7ST_02,TXT_QUEST_STAGE_NAME_7ST,"Torre de Vayoi"
LOCATION_7ST_03,TXT_LOCATION_20,"El Cielo Olvidado"
LOCATION_7ST_04,TXT_LOCATION_06,"Altar Glorioso"
LOCATION_8ST_01,TXT_LOCATION_NOTHING,"¿?"
