IslandLocationKey,TextKey,Name
LOCATION_TST_01,TXT_LOCATION_00,"Pont du Grandcypher"
LOCATION_TST_02,TXT_LOCATION_01,"Bois de Clairsoleil"
LOCATION_1ST_01,TXT_LOCATION_03,"Les Collines"
LOCATION_1ST_02,TXT_LOCATION_04,"Forteresse de Zeghard"
LOCATION_1ST_03,TXT_LOCATION_05,"Mines de Tempéra"
LOCATION_1ST_04,TXT_LOCATION_32,"Vallée de Skywyrm"
LOCATION_1ST_05,TXT_LOCATION_00,"Pont du Grandcypher"
LOCATION_2ST_01,TXT_LOCATION_31,"Pont principal, cuirassé d'Avia"
LOCATION_2ST_02,TXT_LOCATION_07,"Mt. Neigelith, Île de Leautagne"
LOCATION_3ST_01,TXT_LOCATION_08,"Ravin de Berce-neige"
LOCATION_3ST_02,TXT_LOCATION_09,"Monastère décrépit"
LOCATION_3ST_03,TXT_LOCATION_11,"Autel de Givre"
LOCATION_3ST_04,TXT_LOCATION_13,"Ceinture de Dahli"
LOCATION_4ST_01,TXT_LOCATION_14,"Autel de Purepierre"
LOCATION_4ST_02,TXT_LOCATION_15,"Phondam, les Îles balafrées"
LOCATION_5ST_01,TXT_LOCATION_15,"Phondam, les Îles balafrées"
LOCATION_5ST_02,TXT_LOCATION_33,"Château de Séminaria"
LOCATION_6ST_01,TXT_LOCATION_18,"Autel de Ténébrume"
LOCATION_6ST_02,TXT_LOCATION_33,"Château de Séminaria"
LOCATION_6ST_03,TXT_QUEST_STAGE_NAME_7ST,"Pilier de Vayoi"
LOCATION_6ST_04,TXT_QUEST_STAGE_NAME_7ST,"Pilier de Vayoi"
LOCATION_7ST_01,TXT_QUEST_STAGE_NAME_7ST,"Pilier de Vayoi"
LOCATION_7ST_02,TXT_QUEST_STAGE_NAME_7ST,"Pilier de Vayoi"
LOCATION_7ST_03,TXT_LOCATION_20,"Le Ciel oublié"
LOCATION_7ST_04,TXT_LOCATION_06,"Autel de Halevent"
LOCATION_8ST_01,TXT_LOCATION_NOTHING,"???"
