IslandLocationKey,TextKey,Name
LOCATION_TST_01,TXT_LOCATION_00,"Grandcypher-Deck"
LOCATION_TST_02,TXT_LOCATION_01,"Sonnenfleckenhain"
LOCATION_1ST_01,TXT_LOCATION_03,"Ainstedt-Archipel, die Hügel"
LOCATION_1ST_02,TXT_LOCATION_04,"Goblin-Festung"
LOCATION_1ST_03,TXT_LOCATION_05,"Minen von Tempera"
LOCATION_1ST_04,TXT_LOCATION_32,"Skywyrm-Tal"
LOCATION_1ST_05,TXT_LOCATION_00,"Grandcypher-Deck"
LOCATION_2ST_01,TXT_LOCATION_31,"Hauptdeck, Schlachtschiff"
LOCATION_2ST_02,TXT_LOCATION_07,"Insel Leautagne, Neigelith"
LOCATION_3ST_01,TXT_LOCATION_08,"Schneedeckenschlucht"
LOCATION_3ST_02,TXT_LOCATION_09,"Baufälliges Kloster"
LOCATION_3ST_03,TXT_LOCATION_11,"Bitterfrost-Altar"
LOCATION_3ST_04,TXT_LOCATION_13,"Dahli-Ruinengürtel"
LOCATION_4ST_01,TXT_LOCATION_14,"Schauderstein-Altar"
LOCATION_4ST_02,TXT_LOCATION_15,"Phondam-Inseln"
LOCATION_5ST_01,TXT_LOCATION_15,"Phondam-Inseln"
LOCATION_5ST_02,TXT_LOCATION_33,"Schloss Saatholm"
LOCATION_6ST_01,TXT_LOCATION_18,"Hohlnebel-Altar"
LOCATION_6ST_02,TXT_LOCATION_33,"Schloss Saatholm"
LOCATION_6ST_03,TXT_QUEST_STAGE_NAME_7ST,"Säule von Vayoi"
LOCATION_6ST_04,TXT_QUEST_STAGE_NAME_7ST,"Säule von Vayoi"
LOCATION_7ST_01,TXT_QUEST_STAGE_NAME_7ST,"Säule von Vayoi"
LOCATION_7ST_02,TXT_QUEST_STAGE_NAME_7ST,"Säule von Vayoi"
LOCATION_7ST_03,TXT_LOCATION_20,"Der vergessene Himmel"
LOCATION_7ST_04,TXT_LOCATION_06,"Edelwind-Altar"
LOCATION_8ST_01,TXT_LOCATION_NOTHING,"???"
