IslandLocationKey,TextKey,Name
LOCATION_TST_01,TXT_LOCATION_00,"Ponte della Grandcypher"
LOCATION_TST_02,TXT_LOCATION_01,"Bosco radioso"
LOCATION_1ST_01,TXT_LOCATION_03,"Le colline"
LOCATION_1ST_02,TXT_LOCATION_04,"Fortezza dei goblin"
LOCATION_1ST_03,TXT_LOCATION_05,"Miniere di Tempeal"
LOCATION_1ST_04,TXT_LOCATION_32,"Valle di Skywyrm"
LOCATION_1ST_05,TXT_LOCATION_00,"Ponte della Grandcypher"
LOCATION_2ST_01,TXT_LOCATION_31,"Corazzata di Avia"
LOCATION_2ST_02,TXT_LOCATION_07,"Leautagne, monte Neigelith"
LOCATION_3ST_01,TXT_LOCATION_08,"Gola di Coltreneve"
LOCATION_3ST_02,TXT_LOCATION_09,"Monastero fatiscente"
LOCATION_3ST_03,TXT_LOCATION_11,"Altare di Malgelo"
LOCATION_3ST_04,TXT_LOCATION_13,"Cintura reliquiaria di Dahli"
LOCATION_4ST_01,TXT_LOCATION_14,"Altare di Neopietra"
LOCATION_4ST_02,TXT_LOCATION_15,"Isole di Phondam"
LOCATION_5ST_01,TXT_LOCATION_15,"Isole di Phondam"
LOCATION_5ST_02,TXT_LOCATION_33,"Castello di Seminalia"
LOCATION_6ST_01,TXT_LOCATION_18,"Altare di Foschinalia"
LOCATION_6ST_02,TXT_LOCATION_33,"Castello di Seminalia"
LOCATION_6ST_03,TXT_QUEST_STAGE_NAME_7ST,"Pilastro di Vayoi"
LOCATION_6ST_04,TXT_QUEST_STAGE_NAME_7ST,"Pilastro di Vayoi"
LOCATION_7ST_01,TXT_QUEST_STAGE_NAME_7ST,"Pilastro di Vayoi"
LOCATION_7ST_02,TXT_QUEST_STAGE_NAME_7ST,"Pilastro di Vayoi"
LOCATION_7ST_03,TXT_LOCATION_20,"Cielo dimenticato"
LOCATION_7ST_04,TXT_LOCATION_06,"Altare glorioso"
LOCATION_8ST_01,TXT_LOCATION_NOTHING,"?"
