IslandLocationKey,TextKey,Name
LOCATION_TST_01,TXT_LOCATION_00,"騎空艇グランサイファー 甲板"
LOCATION_TST_02,TXT_LOCATION_01,"葉洩れ日の森"
LOCATION_1ST_01,TXT_LOCATION_03,"エインステッド群島 丘陵"
LOCATION_1ST_02,TXT_LOCATION_04,"ゼガード砦"
LOCATION_1ST_03,TXT_LOCATION_05,"鉱山郷 テンペール"
LOCATION_1ST_04,TXT_LOCATION_32,"飛竜の谷"
LOCATION_1ST_05,TXT_LOCATION_00,"騎空艇グランサイファー 甲板"
LOCATION_2ST_01,TXT_LOCATION_31,"アヴィア戦艦 甲板"
LOCATION_2ST_02,TXT_LOCATION_07,"ロンターニュ島 霊峰ネジュリス"
LOCATION_3ST_01,TXT_LOCATION_08,"霜枕谷"
LOCATION_3ST_02,TXT_LOCATION_09,"朽ちた聖堂"
LOCATION_3ST_03,TXT_LOCATION_11,"絶零の祭壇"
LOCATION_3ST_04,TXT_LOCATION_13,"ダリ遺跡帯"
LOCATION_4ST_01,TXT_LOCATION_14,"嶄巌の祭壇"
LOCATION_4ST_02,TXT_LOCATION_15,"閉鎖島嶼フォンダーム"
LOCATION_5ST_01,TXT_LOCATION_15,"閉鎖島嶼フォンダーム"
LOCATION_5ST_02,TXT_LOCATION_33,"シードホルム城"
LOCATION_6ST_01,TXT_LOCATION_18,"朧闇の祭壇"
LOCATION_6ST_02,TXT_LOCATION_33,"シードホルム城"
LOCATION_6ST_03,TXT_QUEST_STAGE_NAME_7ST,"ヴァヨイの塔"
LOCATION_6ST_04,TXT_QUEST_STAGE_NAME_7ST,"ヴァヨイの塔"
LOCATION_7ST_01,TXT_QUEST_STAGE_NAME_7ST,"ヴァヨイの塔"
LOCATION_7ST_02,TXT_QUEST_STAGE_NAME_7ST,"ヴァヨイの塔"
LOCATION_7ST_03,TXT_LOCATION_20,"忘れられた空"
LOCATION_7ST_04,TXT_LOCATION_06,"栄風の祭壇"
LOCATION_8ST_01,TXT_LOCATION_NOTHING,"？？？"
